Name,Phys,Str,Sls,Thr,Mag,Fire,Light,Dark,Poise,Poison,Bleed,Petrify,Curse,Dur,Weight,Scaling,Prerequisite,Reinforcement,Effect
Agdayne's Black Robe,93,98,90,90,54,52,48,72,0,55,38,48,65,65,5.8,B,,Twinkling Titanite,
Agdayne's Black Robe+5,139,147,135,135,81,79,72,108,0,83,57,72,98,65,5.8,B,,Twinkling Titanite,
Alonne Captain Armor,162,153,171,162,34,53,23,34,38,17,38,0,0,90,15.6,A,,Titanite,Fire Defense +
Alonne Captain Armor+10,324,305,343,324,68,106,45,68,38,34,75,0,0,90,15.6,A,,Titanite,Fire Defense +
Alonne Knight Armor,152,146,161,152,27,45,22,27,34,14,32,0,0,80,14.2,A,,Titanite,
Alonne Knight Armor+10,305,291,321,305,55,91,44,55,34,28,64,0,0,80,14.2,A,,Titanite,
Alva Armor,89,85,92,86,25,27,19,26,15,26,35,0,0,80,8.8,A,,Titanite,
Alva Armor+10,179,170,185,176,49,54,37,53,15,53,69,0,0,80,8.8,A,,Titanite,
Archdrake Robes,89,89,89,89,28,27,47,27,13.5,24,20,0,0,80,9.8,A,,Titanite,
Archdrake Robes+10,178,178,178,178,57,54,93,53,13.5,48,40,0,0,80,9.8,A,,Titanite,
Armor of Aurous,122,118,128,123,43,42,30,46,18,34,44,0,0,80,10.1,A,,Twinkling Titanite,
Armor of Aurous (Transparent),76,82,72,74,30,25,32,28,0,20,24,0,0,40,3.2,B,,Twinkling Titanite,Raises Equipment Load
Armor of Aurous (Transparent)+5,115,123,109,111,45,37,48,41,0,31,36,0,0,40,3.2,B,,Twinkling Titanite,Raises Equipment Load
Armor of Aurous+5,183,177,192,184,65,63,45,69,18,51,65,0,0,80,10.1,A,,Twinkling Titanite,
Astrologist's Robes,60,63,58,58,44,30,30,37,0,19,19,0,0,50,5.1,B,,Titanite,
Astrologist's Robes+10,121,126,117,117,87,60,60,74,0,38,37,0,0,50,5.1,B,,Titanite,
Bandit Armor,67,66,69,64,20,21,17,20,5,14,21,0,0,60,6.2,B,,Titanite,
Bandit Armor+10,133,133,137,128,40,41,33,40,5,29,42,0,0,60,6.2,B,,Titanite,
Bell Keeper Bellyband,66,69,64,64,14,13,19,25,0,16,13,0,0,60,6,B,,Titanite,
Bell Keeper Bellyband+10,131,138,128,128,28,26,37,50,0,32,26,0,0,60,6,B,,Titanite,
Benhart's Armor,104,100,108,104,24,23,21,24,18,27,21,0,0,72,10.5,A,,Titanite,
