Name,Phys,Str,Sls,Thr,Mag,Fire,Light,Dark,Poise,Poison,Bleed,Petrify,Curse,Dur,Weight,Scaling,Prerequisite,Reinforcement,Effect
Alonne Captian Helm,53,50,56,53,11,17,7,11,12,6,12,0,0,90,5.1,C,,Titanite,Fire Def +
Alonne Captian Helm+10,106,100,112,106,22,34,15,22,12,11,25,0,0,90,5.1,C,,Titanite,Fire Def +
Alonne Knight Helm,49,47,52,49,9,15,7,9,9,5,10,0,0,80,4.6,C,,Titanite,
Alonne Knight Helm+10,99,94,104,99,18,29,14,18,9,9,21,0,0,80,4.6,C,,Titanite,
Alva Helm,38,36,39,37,10,11,8,11,6,11,15,0,0,80,3.7,C,,Titanite,
Alva Helm+10,75,72,78,74,21,23,16,22,6,22,23,0,0,80,3.7,C,,Titanite,
Archdrake Helm,49,49,49,49,16,15,26,15,7.5,13,11,0,0,80,5.4,C,,Titanite,
Archdrake Helm+10,98,98,98,98,31,30,51,29,7.5,26,22,0,0,80,5.4,C,,Titanite,
Bell Keeper Helmet,52,45,57,55,11,18,5,20,5,8,16,0,0,60,4.8,D,,Titanite,
Bell Keeper Helmet+10,105,90,114,110,22,36,10,40,5,15,31,0,0,60,4.8,D,,Titanite,
Benhart's Knight Helm,69,67,72,69,16,15,14,16,11,18,14,0,0,72,7,C,,Titanite,
Benhart's Knight Helm+10,139,134,144,139,32,30,28,32,11,36,28,0,0,72,7,C,,Titanite,
Black Dragon Helm,56,54,57,56,8,18,8,8,4,10,14,12,12,225,6.5,C,"14 STR, 14 DEX",Petrified Dragon Bone,
Black Hollow Mage Hood,32,34,31,31,27,19,21,23,0,13,12,12,12,50,1.9,E,,Titanite, INT+1 (Set)
Black Hollow Mage Hood+10,64,67,62,62,54,38,41,45,0,26,24,25,25,50,1.9,E,,Titanite, INT+1 (Set)
Black Hood,23,25,22,22,25,17,17,17,0,10,9,13,12,55,0.9,E,16 INT,Twinkling Titanite,Casting Speed +
Black Hood+5,35,37,33,33,38,25,25,25,0,16,14,20,18,55,0.9,E,16 INT,Twinkling Titanite,Casting Speed +
Black Witch Domino Mask,10,11,9,9,16,8,16,16,0,5,5,17,17,60,0.5,E,20 INT,Twinkling Titanite,"Magic ATK+, HP- "
Black Witch Domino Mask+10,15,16,14,14,24,12,24,24,0,7,8,26,26,60,0.5,E,20 INT,Twinkling Titanite,"Magic ATK+, HP- (15%)"
Black Witch Hat,19,23,19,19,15,7,15,15,0,7,8,12,12,55,1.5,E,20 INT,Twinkling Titanite,Attunement+1
Black Witch Hat+5,29,34,28,28,22,11,22,22,0,10,12,18,18,55,1.5,E,20 INT,Twinkling Titanite,Attunement+1
Black Witch Veil,10,11,10,10,9,7,9,9,0,3,4,5,5,45,0.5,E,,Twinkling Titanite,
Black Witch Veil+5,15,16,15,15,14,11,13,14,0,5,6,7,7,45,0.5,E,,Twinkling Titanite,
Bone Crown,32,25,30,30,20,22,18,28,0,16,10,12,20,65,1.7,E,,Twinkling Titanite,
Bone Crown+5,48,52,46,46,30,34,27,42,0,24,16,19,30,65,1.7,E,,Twinkling Titanite,
Brigand Hood,22,24,22,20,11,9,8,9,0,9,9,0,0,60,1.2,E,,Titanite,
